s,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1
386,University of Toronto - Rock Fracture Dynamics Facility,KORE Geosystems,University of Toronto,Mine Design Technologies,Itasca-IMaGE,Research Assistant,R&D Lead and Senior Data Scientist,Teaching Assistant,Freelance CAD Engineer,Algorithm R&D Lead and Geophysicist,Toronto,Toronto; Canada Area,University of Toronto,Kingston; Ontario,Toronto; Canada,month:1;year:2011,month:2;year:2015,month:2;year:2016,,month:9;year:2008,month:2;year:2015,month:4;year:2013,month:5;year:2013,month:2;year:2015,month:2;year:2016,
387,Boeing,Boeing,Boeing,Boeing,Boeing,WIRS 2.0/DUCT Development Lead,Programmer Analyst | TSRI/WIRS+,Programmer Analyst | EMEIS,Programmer Analyst | IVT,Programmer Analyst | MAPPER,Bellevue; WA,Bellevue; WA,Bellevue; WA,Bellevue; WA,Bellevue; WA,month:1;year:2016,,month:1;year:2015,month:9;year:2015,month:1;year:2013,month:1;year:2014,month:1;year:2014,month:1;year:2015,month:9;year:2015,month:1;year:2016,
388,Acciona Energía S.A.,,,,,Arquitecto de software,,,,,,,,,,month:3;year:2006,month:3;year:2006,month:3;year:2006,month:3;year:2006,,,,,,,
389,National Oilwell Varco,National Oilwell Varco,Mercedes-Benz Grand Prix Limited,Wood Mackenzie,,Next Generation Program,Technical Sales Representative; Hydralift AmClyde,Assistant to Chief Strategist,Data Analyst,,St. Paul; MN,Houston; Texas,,,,month:6;year:2011,month:6;year:2012,month:7;year:2012,month:4;year:2013,month:7;year:2009,month:7;year:2010,month:8;year:2013,,,,
390,Columbia University,Forbes,The University of Edinburgh,American Museum of Natural History,Dinosaur Doctors,Lecturer in Ecology; Evolution; and Environmental Biology,Contributor,Newton International Fellow,Postdoctoral Research Associate,,New York; NY,Edinburgh; United Kingdom,,,,month:7;year:2013,month:1;year:2015,month:5;year:2015,,month:2;year:2015,month:2;year:2017,month:1;year:2013,month:1;year:2015,,,
391,AKN Messaging Technologies (Pvt.) Ltd,M3 Technologies Middle East FZE,M3 Technologies Pakistan (Pvt.) Ltd.,,,Chief Operating Officer,Chief Executive Officer,Country Manager - Pakistan,,,Dubai; United Arab Emirates,,,,,month:7;year:2006,month:6;year:2010,month:7;year:2013,,month:7;year:2010,,,,,,
392,Microsoft,Microsoft,Microsoft,Microsoft,Microsoft,Principle Software Engineer; Microsoft Customer Knowledge Platform,Principal Architect; BGE,Principal Architect; Microsoft Products & Services IT,Principal Software Engineer; Developer and Partner Services,Principal Architect; OEM,Redmond; WA,Redmond; WA,Redmond; WA,,,month:5;year:2016,,year:2006,month:11;year:2010,month:7;year:2012,month:11;year:2015,month:12;year:2015,month:5;year:2016,month:2;year:2010,month:6;year:2012,
393,IBM,The College Board,NY EdTech Meetup,Wimba Inc. acquired by Blackboard Inc.,Macmillan New Ventures,Blockchain Ecosytem Leader,Director; Corporate Strategy,Co-Founding Organizer,Director; Corporate Strategy & Development,Vice President,Greater New York City Area,New York,,,,month:2;year:2017,,month:11;year:2010,month:8;year:2013,month:12;year:2011,month:12;year:2014,month:8;year:2007,month:11;year:2010,month:8;year:2013,month:1;year:2016,
394,Intuit,Intuit,wisewords.co,TED Conferences,Uber,Marketing Specialist,Associate Marketing Manager,VP of Business Development,Producer TEDxIntuit Canada,Brand Ambassador,Toronto,Toronto; Canada Area,Toronto; Canada Area,,,month:1;year:2015,month:8;year:2015,month:7;year:2016,,month:5;year:2014,month:9;year:2014,month:1;year:2015,month:8;year:2015,month:5;year:2014,month:10;year:2014,
395,,,,,,,,,,,,,,,,,,,,,,,,,,
396,Microsoft,Microsoft Corporation,Microsoft,Microsoft,Aditi Technologies,Senior Program Manager,Program Manager,Lead Program Manager,Senior Patent Analyst,Account Manager,Redmond WA,Redmond WA,Redmond WA,Redmond WA,Redmond WA,month:2;year:2007,month:6;year:2013,month:9;year:2002,month:1;year:2004,month:2;year:2004,month:1;year:2007,month:7;year:2013,month:4;year:2015,month:8;year:1997,month:8;year:2002,
397,,,,,,,,,,,,,,,,,,,,,,,,,,
398,Global Investment House,LEAF Commercial Capital; Inc.,T3 Trading Group; LLC,Deloitte & Touche,FS Investments(Formerly Franklin Square Capital Partners),Business Intern,Financial Analyst,Proprietary Equity Trader,Audit Intern,Data Scientist,Kuwait,1 State Street Plaza; 10th FL  New York; NY 10004,Greater Philadelphia Area,,,month:5;year:2010,month:5;year:2010,month:7;year:2013,month:3;year:2015,month:6;year:2012,month:2;year:2013,month:1;year:2011,month:4;year:2011,month:3;year:2015,,
399,ChipCare Corp,,,,,Electrical & Computer Engineer,,,,,Toronto; Canada Area,,,,,month:7;year:2015,,,,,,,,,,
400,Microsoft,Microsoft,Microsoft;,Railinc,Microsoft,Software Engineer; OneDrive,Software Engineer; Information Platform Group - Bing,Software Engineer 2; Information Platform Group - Bing,Associate Software Developer,Software Engineer; O365,Redmond; Washington,Redmond; Washington,,,,month:7;year:2013,month:7;year:2013,month:4;year:2016,month:4;year:2016,month:10;year:2016,month:10;year:2016,month:9;year:2011,month:9;year:2011,month:11;year:2014,month:11;year:2014,
401,Microsoft,RMP Infotech,Hewlett Packard,Microsoft,RMP Infotech,IT Servcie Engineering Lead,IT System Administrator,Project Lead,IT Servcie Engineering Lead,IT System Administrator,Redmond; Washington,Chennai; India,Bangalaore; India,Redmond; Washington,Chennai; India,month:9;year:2007,month:9;year:2007,month:3;year:2001,month:3;year:2001,month:7;year:2003,month:7;year:2003,month:9;year:2007,month:9;year:2007,month:3;year:2001,month:3;year:2001,
402,Zalando SE,Annadale Technologies Ltd,University College Cork; Ireland (UCC),Annadale Technologies Ltd,University College Cork; Ireland (UCC),Data Engineer,Junior Software Developer,Maths Circles Leader,Junior Data Scientist,Tutor in Mathematics,County Dublin; Ireland,Killorglin; Co. Kerry,Cork,Dublin,Cork,month:5;year:2016,,month:9;year:2013,month:7;year:2015,month:1;year:2012,month:5;year:2013,month:10;year:2015,month:5;year:2016,month:10;year:2012,month:5;year:2013,
403,Microsoft,Microsoft,Microsoft,Deloitte & Touche,Microsoft,Program Manager,Principal Program Manager,Senior Program Manager,Manager,Senior Program Manager,Redmond,Greater Seattle Area,,,,month:12;year:2002,month:9;year:2008,month:9;year:2012,month:10;year:2015,month:10;year:2008,month:10;year:2012,month:6;year:2002,month:11;year:2002,month:10;year:2015,,
404,Microsoft,Code.org,,,,Software Engineer,,,,,Redmond,,,,,month:6;year:2007,,,,,,,,,,
405,Infosys,Infosys,Capgemini,Infosys,Infosys,Technology Analyst,Systems Engineer,Senior Consultant,Technology Lead,Senior Systems Engineer,Des Moines; Iowa,Bellevue; Washington,United States,,,month:5;year:2013,month:1;year:2015,month:6;year:2009,month:4;year:2011,month:1;year:2016,,month:1;year:2015,month:1;year:2016,month:5;year:2011,month:4;year:2013,
406,Obama for America,ProPublica,Dev Bootcamp,KISSmetrics,NoRedInk,Field Organizer,Distributed Reporting,Teacher / Developer,Developer,Engineer,Western Slope; Colorado,New York City,San Francisco Bay Area,San Francisco Bay Area,San Francisco Bay Area,month:11;year:2007,month:11;year:2008,month:1;year:2010,month:12;year:2010,month:3;year:2014,month:9;year:2014,month:11;year:2013,month:3;year:2014,month:10;year:2014,,
407,Patni Computer Systems,Computer Sciences Corporation,Codit,,,Software Engineer,Senior Application Architect,Integration Architect and R&D Thinker,,,Antwerp Area; Belgium,,,,,month:2;year:2006,month:10;year:2008,month:10;year:2008,month:8;year:2012,month:6;year:2012,,,,,,
408,The Schwan Food Company,Bluestem Brands; Inc.,SUPERVALU,maurices,REI,Business Analyst,Marketing Analyst; Strategy and Planning Fingerhut.com,Retail Testing Intern Analyst,Real Estate Analyst,Web Analyst,Greater Minneapolis-St. Paul Area,Greater Minneapolis-St. Paul Area,Duluth; Minnesota Area,Kent; Washington,,month:6;year:2013,month:11;year:2014,month:11;year:2014,month:5;year:2016,month:6;year:2012,month:8;year:2012,month:1;year:2013,month:5;year:2013,month:6;year:2016,,
409,Regent University,Regent University,Regent University; School of Psychology & Counseling,Regent University; School of Psychology & Counseling,Regent University,Associate Dean for Graduate Administration,Interim Executive Director; Enrollment Management,Director of Marketing & Recruitment,Assistant Dean for Administration,Exec. Dir. of Institutional Analytics,,,,,,month:7;year:2012,month:6;year:2015,month:10;year:2014,month:4;year:2015,month:3;year:2000,month:6;year:2010,month:7;year:2010,month:6;year:2013,month:7;year:2015,,
410,Cost Plus World Market,Cost Plus World Market,Cost Plus World Market,Cost Plus World Market,Guitar Center,Director of Technology and Operations,Director of Enterprise Architecture,Manager; Application Development,Director of Technology and Architecture,Director of Warehouse Systems (IT),Oakland; CA,Oakland; CA,Oakland; CA,Westlake Village; CA,,month:5;year:2005,month:1;year:2008,month:1;year:2011,,month:5;year:2004,month:5;year:2005,month:1;year:2008,month:1;year:2011,month:6;year:2001,month:5;year:2004,
411,UnitedHealth Group,UnitedHealth Group,Infosys,Infosys,Infosys,Solutions Architect,Director IT Architecture,Sr Technical Architect (Solution Architect for BCBS MN),Technical Architect (Application Architect for EyeMed),Technical Architect (Solution Architect for BCBS MN),Eden Prairie ; MN,Eden Prairie; Minnesota,Greater Minneapolis-St. Paul Area,Mason; OH,Eagan; MN,month:2;year:2013,month:9;year:2016,month:9;year:2016,,month:7;year:2012,month:1;year:2013,month:1;year:2011,month:1;year:2012,month:3;year:2012,month:7;year:2012,
412,Intuitive Surgical,Amazon.com,eBay,Hexaware Technologies,BearingPoint,Manager; People Data and Analytics,HR Systems Project Manager,Global HR Systems Project Manager,Software Engineer,Consultant,San Francisco Bay Area,,,,,month:7;year:2014,,month:5;year:2008,month:7;year:2010,month:4;year:2010,month:5;year:2014,year:2003,year:2005,month:8;year:2005,month:4;year:2006,
413,Jass & Associates; Inc,ValueLabs,Microsoft,Markettools,Jass & Associates; Inc,Sr. Software Engineer,Sr. Software Engineer,Senior SDE,Software engineers,Sr. Software Engineer,,,,,,month:12;year:2005,month:12;year:2005,year:2003,year:2003,month:1;year:2008,month:1;year:2008,year:2000,year:2000,month:12;year:2005,month:12;year:2005,
414,GTO Shield; Microsoft via Volt,Bluetooth SIG,Live Service Delivery; Microsoft via Populus,Cat Daddy Games / 2K Games / Take Two Interactive,Food Lifeline,Test Associate II – Test Tools Engineer,Software Engineer II - Tools; Automation; Security,Data Gorilla (Social Media Analyst I),Cloud Network Engineer - SDE/SDET Hybrid,Test Associate II – Test Tools Engineer,Redmond; WA USA,Kirkland; WA USA,Redmond; WA USA,Kirkland; WA USA,Redmond; WA USA,month:4;year:2012,month:4;year:2012,month:4;year:2015,month:4;year:2015,month:10;year:2010,month:10;year:2010,month:12;year:2013,month:12;year:2013,month:4;year:2012,month:4;year:2012,
415,CIBC,Canadian Tire,Holt Renfrew,Sears Canada,TabKey Technology Services,Big Data Solutions Consultant,Solutions Designer and Technical Lead,Solutions Architect/Delivery lead,Solutions Analyst,Solution Designer/Developer,Toronto; Canada Area,Toronto; Canada Area,Toronto; Canada Area,,,month:11;year:2015,,month:1;year:2009,month:3;year:2013,month:3;year:2014,month:4;year:2015,month:10;year:2013,month:3;year:2014,month:9;year:2004,month:11;year:2008,
416,Government of Western Australia,Chevron,Velrada,BHP Billiton,Canteen4Schools,Business Intelligence & Data Warehouse Consultant,Business Analyst - Information Systems; Processes; and Data,Senior Data Scientist,Lead SME / Business Systems Lead/ Project Manager- Supply Chain and Business Intelligence,Co-Founder / Lead Architect,Perth; Australia,Perth; Australia,Perth; Australia,Perth; Australia,Perth; Australia,month:1;year:2016,month:4;year:2016,month:8;year:2015,month:12;year:2015,month:5;year:2016,,month:6;year:2010,month:6;year:2015,month:1;year:2012,month:12;year:2014,
417,Microsoft,Accenture Technology Solutions,Accenture,Accenture Technology Solutions,Microsoft,Group Manager; Release Services,Associate Manager,Accenture Account Manager,Team/Project Lead,Senior Program Manager,Redmond,,,,,month:3;year:2014,,month:9;year:2005,month:9;year:2007,year:2002,month:6;year:2011,month:9;year:2003,month:9;year:2005,month:6;year:2011,,
418,Vision Data Solutions (now called VisionPace),Burd & Fletcher,Metropolitan Community College,Johnson County Community College,Central Christian College of Kansas,Software Consultant,Senior Progamming Analyst,Mathematics Instructor,Assistant Professor,Faculty Member,Independence; MO,,,,,year:1999,year:2001,year:2001,year:2003,month:8;year:2003,month:5;year:2011,month:9;year:2011,month:5;year:2014,,,
419,Oersted Computers,Global Engineering Services,Oersted Electronics,Philips,,Founder and CEO,Marketing Manager,Founder and C.E.O,Project Manager,,Pakistan,Pakistan,Suite 69B; Sasi Aracde; Block-7; Clifton; Karachi,,,month:1;year:2010,,month:1;year:2014,month:10;year:2015,month:8;year:2009,,month:5;year:2009,month:10;year:2010,,,
420,HERE,Health Shared Services BC,HERE,HERE,Vancouver Portrait Lovers,Geographic Analyst I,Project Assistant - Intern,Geographic Analyst,Database Engineer,Meetup Organizer,Bangkok; Thailand,Burnaby; BC,Burnaby; BC,Burnaby; BC,Vancouver; Canada Area,month:11;year:2008,month:12;year:2009,month:3;year:2014,month:5;year:2014,month:7;year:2013,month:5;year:2015,month:5;year:2015,,month:7;year:2011,month:12;year:2016,
421,Microsoft,Microsoft,Microsoft,Microsoft,Microsoft,Data Center Supply Chain Architect; GFS; Microsoft,Sr. Director; Cloud Infrastructure strategy and Architecture,Director; Data Center Strategy and Planning,Director; Operational Decision Support; GFS; Microsoft,Director; Datacenter Supply Chain Planning; GFS; Microsoft,Redmond; Wa,Redmond; WA,Redmond; WA,Redmond; WA,Redmond; wa,month:10;year:2010,month:8;year:2013,month:1;year:2016,,month:12;year:2014,month:12;year:2016,month:6;year:2014,month:12;year:2014,month:8;year:2013,month:6;year:2014,
422,ST Electronics,Realistix Pte Ltd,Standard Offshore Solutions Pte Ltd,Valens CGV Pte Ltd,ESS Software Pte Ltd,Assistant Principal Engineer,Software Engineer,Senior Commercial Executive,Software Engineer,Software Engineer,Singapore,Singapore,Singapore,Singapore,Singapore,month:8;year:2009,month:1;year:2014,month:3;year:2001,month:5;year:2002,month:5;year:2014,month:3;year:2016,month:8;year:2002,month:11;year:2004,month:10;year:2005,month:8;year:2009,
423,Microsoft,Microsoft,Microsoft,Microsoft,Microsoft,Principal Business Analyst,Principle Service Architect,Senior Infrastructure Consultant,Systems Design Engineer,Principle Operations Engineer,Online Service Division; Bellevue; WA,Redmond; WA,Redmond; WA,Redmond; WA,,month:3;year:2014,,month:3;year:2009,month:2;year:2014,month:10;year:2001,month:3;year:2004,month:4;year:2004,month:1;year:2006,month:1;year:2006,month:2;year:2009,
424,Accenture,Accenture,Accenture,Accenture,Antenna,Senior Systems Integration & Technology Consultant,Systems Integration & Technology Analyst,Analytics Manager,Analytics & Data Management Senior Manager,Data Analytics Director,Greece,Greece,Athens; Greece,Athens; Greece,Athens; Greece,month:9;year:2007,month:9;year:2012,month:10;year:2005,month:9;year:2007,month:9;year:2012,month:12;year:2015,month:12;year:2015,month:11;year:2016,month:12;year:2016,,
425,Bank Vontobel AG,Credit Suisse,KPMG Switzerland,UBS,Euler Hermes,Client Services,Junior Operations Service Specialist,Consultant IT Advisory (Data Analytics),BEM - Berufseinstieg für Mittelschulabsolventen,Commercial Underwriting Assistant,Zürich Area; Switzerland,Zürich Area; Switzerland,Zürich Area; Switzerland,Zürich Area; Switzerland,Zürich Wallisellen,month:7;year:2008,month:6;year:2009,month:12;year:2006,month:4;year:2007,month:8;year:2016,,month:3;year:2011,month:9;year:2012,month:1;year:2013,month:6;year:2016,
426,Nalco Champion,Nalco,Nalco,Microsoft,Asian Paints,Industry Technical Consultant,Sr Research Engineer,Sr Engineer,Data Solution Architect,Process Engineer,(Remote),Naperville; IL,Naperville; IL,Greater St. Louis Area,Cuddalore Area; India,month:1;year:2010,month:10;year:2015,month:7;year:2008,month:1;year:2010,month:9;year:2005,month:6;year:2008,month:1;year:2016,,month:2;year:1998,month:12;year:1998,
427,Bill & Melinda Gates Foundation,BDC Capital Inc.,Foundation for Innovative Diagnostics,McKinsey & Company,McKinsey & Company,Program Officer (on sabbatical from McKinsey),Director of strategy,Forgaty National Institute for Health Fellow,Senior Engagement Manager,Associate,Greater Seattle Area,Montreal; Canada Area,Geneva Area; Switzerland,Montreal; Canada Area,,month:3;year:2014,month:12;year:2015,month:1;year:2016,,month:6;year:2010,month:8;year:2010,month:12;year:2012,month:12;year:2015,month:8;year:2010,month:11;year:2012,
428,Epsilon Technologies,We Are Social,We Are Social,Twitter,Twitter,Strategic Analyst,Research & Insights Executive (Singapore),Senior Research & Insights Executive,Research Analyst APAC,Research Specialist (APAC & MENA),Barcelona y alrededores; España,Singapore,Singapur,Singapur,Barcelona Area; Spain,month:2;year:2012,month:2;year:2012,month:10;year:2012,month:10;year:2012,month:3;year:2014,month:3;year:2014,month:4;year:2016,month:4;year:2016,month:12;year:2014,month:12;year:2014,
429,Kellogg School of Management,Metis,Deloitte,HBR Consulting LLC,Deloitte,Research Assistant,Data Scientist,Consultant; Global Transfer Pricing,Strategic Sourcing and Business Operations Intern,Summer Intern,Greater Chicago Area,Greater Chicago Area,Greater Chicago Area,Greater Chicago Area,,month:5;year:2013,month:3;year:2014,month:1;year:2017,,month:6;year:2015,,month:9;year:2013,month:12;year:2013,month:6;year:2014,month:8;year:2014,
430,,,,,,,,,,,,,,,,,,,,,,,,,,
431,Accenture,Academic Work,NITH,Inmeta Consulting AS,Accenture,Senior Analyst at Accenture Analytics,Consultant,Chairman of the Nomination Committee at the Student Parliament,Business Intelligence Consultant,Bachelor Thesis,Oslo Area; Norway,Oslo Area; Norway,Oslo Area; Norway,Oslo Area; Norway,Oslo Area; Norway,month:5;year:2014,,month:6;year:2010,month:8;year:2012,month:4;year:2011,month:2;year:2012,month:8;year:2012,month:5;year:2014,month:1;year:2012,month:6;year:2012,
432,GE,The Caravel,The Boston Consulting Group,Internews Network,GE,Financial Management Program (FMP) Intern,Co-Founder & Editor of East Asia and Oceania,Winter Intern,Research Fellowship,Financial Management Program,Tokyo; Japan,Washington D.C. Metro Area,Tokyo; Japan,London; United Kingdom,Tokyo; Japan,month:6;year:2015,month:8;year:2015,month:2;year:2014,month:12;year:2015,month:12;year:2014,month:12;year:2014,month:5;year:2013,month:6;year:2013,month:9;year:2016,,
433,Pearson,CareTech Solutions,Aircraft Technical Publishers (ATP),Big Sky Songwriters Festival,GTB (Formerly Team Detroit and Blue Hive - divisions of WPP),Director; User Experience & Design,Design and User Experience Lead,User Experience Design Lead,Technical Director,Senior User Experience Architect,Austin; Texas,Big Sky; MT,,,,month:3;year:2014,month:10;year:2016,month:9;year:2010,month:7;year:2013,month:10;year:2016,,month:11;year:2011,,month:7;year:2013,month:3;year:2014,
434,State Farm Insurance,Pearson North America,Bachrach,Proof66; LLC,Tenacious Terrarium; LLC,Senior Business Analyst,Principal Business Analyst,Assistant Manager/Wardrobe Consultant,iPhone Application Developer,Founder,San Antonio; Texas Area,Bloomington/Normal; Illinois Area,San Antonio; Texas Area,,,month:5;year:2006,month:3;year:2012,month:4;year:2012,,month:3;year:2005,month:12;year:2006,month:6;year:2011,month:3;year:2012,month:12;year:2011,,
435,Focused Objective LLC,Travelocity,lastminute.com,Corbis,Sabre Holdings,President,VP Media; Mobile Products; Architecture,VP Global Architecture,Director; Enterprise Software,VP Software Development,Greater Seattle Area,Southlake; Texas,London; United Kingdom,Seattle; WA,Southlake; TX,month:2;year:2011,,year:2009,year:2011,year:2009,year:2011,month:5;year:2007,month:3;year:2009,year:2009,month:1;year:2011,
436,,,,,,,,,,,,,,,,,,,,,,,,,,
437,Microsoft,Aritificial Intelligence Lab ;The University of Arizona,Microsoft,Microsoft,Microsoft,Software Engineer,Research Assistant,SDET Intern,Software Engineer II,Software Development Engineer in Test,Redmond,Tucson,Redmond,Redmond,Tucson,month:1;year:2014,month:1;year:2014,month:8;year:2011,month:8;year:2011,month:5;year:2012,month:5;year:2012,month:7;year:2016,month:7;year:2016,month:1;year:2013,month:1;year:2013,
438,Shell,Philip Morris International,Pointlogic,Integration Marketing and Communications,Philip Morris International,HR Analytics Analyst,Operations Management Trainee,Analytical consultant,Research and Product Development Consultant,Energy leader,Bergen Op Zoom Area; Netherlands,Rotterdam Area; Netherlands,,,,month:12;year:2014,,month:1;year:2013,month:12;year:2013,month:9;year:2011,month:3;year:2012,month:4;year:2012,month:12;year:2012,month:1;year:2014,month:10;year:2014,
439,NXP Semiconductors,Freescale Semiconductor,Motorola,Freescale Semiconductor,The University of Texas,Principal Engineer,Senior Member of Technical Staff - APC Architect,APC Engineer,Senior APC Engineer,Graduate Research Assistant,Austin; Texas Area,,,,,month:12;year:2015,,month:3;year:2011,month:12;year:2015,month:5;year:1999,month:12;year:2004,month:12;year:2004,month:4;year:2011,month:8;year:1995,month:5;year:1999,
440,,,,,,,,,,,,,,,,,,,,,,,,,,
441,,,,,,,,,,,,,,,,,,,,,,,,,,
442,Project DataREACH,Heal - House call doctors for adults and kids,Songhai Labs,UCLA Department of Computational and Systems Biology,City Fellows Consortium,CEO/Founder,Data Science Intern (Machine Learning/Predictive Analytics),Global Fellow,Departmental Student Representative to Faculty Advisory Committee,Consortium Fellow,Los Angeles,Santa Monica; CA,Los Angeles;CA,Los Angeles,,month:8;year:2015,,month:5;year:2016,,month:7;year:2016,,month:9;year:2016,,month:10;year:2015,,
443,Cisco Systems,Microsoft,Microsoft,Microsoft,,College Intern,Software Engineer,Software Engineer II,Senior Software Engineer,,Redmond; WA,redmond; washington,Redmond; Washington,,,month:5;year:2007,month:8;year:2007,month:4;year:2008,month:9;year:2011,month:9;year:2011,,month:2;year:2015,,,,
444,Leavey School of Business,Cisco,Cisco,CyberFlow Analytics,Cisco,MBA; General Management,Product Manager; Automation and Orchestration Platform,Product Manager; Knowledge and Intelligence SaaS,Advisor/Mentor CyberFlow Acquired by WebRoot,Product Management Lead; IoT Software Cloud,San Francisco Bay Area,San Jose,San Francisco Bay Area,San Francisco Bay Area,San Francisco Bay Area,month:8;year:2008,month:5;year:2012,month:11;year:2010,month:8;year:2011,month:8;year:2011,month:10;year:2012,month:1;year:2016,month:9;year:2016,month:10;year:2012,,
445,eBay Inc,Infosys,Texas A&M University,eBay Inc,Capital Area Food Bank of Texas,Business Intelligence Analyst Intern,Systems Engineer,Student Worker,Business Intelligence Analyst,,Austin; Texas Area,Pune Area; India,Computing and Information Services,Austin; Texas Area,,month:6;year:2014,month:8;year:2014,month:8;year:2011,month:6;year:2013,month:9;year:2013,month:12;year:2014,month:2;year:2015,,,,
446,Microsoft Ireland,Microsoft,Microsoft,Microsoft,Microsoft,Senior Operation Analyst,Capacity Planning Engineer,Content Publishing Engineer,SE SERVICE MANAGER,Senior Service Engineer,Redmond,,,,,month:6;year:2003,month:8;year:2006,month:8;year:2006,month:5;year:2007,month:8;year:2007,month:7;year:2009,month:7;year:2009,,month:4;year:2011,,
447,Sysmex America; Inc.,Littelfuse,Sysmex America; Inc.,Schneider Electric,Independent,Business Controller - Americas,Financial Planning & Corporate Development Manager,Manager of Financial Reporting and Consolidations,Corporate Finance Manager (Business Development),Finance Consultant,Greater Chicago Area,Greater Chicago Area,,,,year:2015,,year:2008,year:2009,year:2014,year:2014,month:1;year:2011,year:2014,month:10;year:2009,month:12;year:2010,
448,World Health Organization,Unisys,Unisys,STG International Limited,Unisys Global Services India,Infobase co-ordinator,Technical Project Manager,Project Consultant,Executive Technical,Team Lead,New Delhi Area; India,San Francisco Bay Area,San Francisco Bay Area,New Delhi Area; India,Bengaluru Area; India,month:6;year:2003,month:11;year:2005,month:10;year:2012,,month:10;year:2009,month:11;year:2012,month:10;year:2000,month:6;year:2003,month:11;year:2005,month:10;year:2009,
449,ST-Ericsson Inc.;USA,AIMS Migital Technovations Pvt. Ltd,Sasken,STMicroelectronics,Microsoft,Technical Leader,SW Engineer,SW Engineer,Software Engineer-II,Software Engineer II,Greater Seattle Area,Gurgaon; India,Greater Noida,greater seattle area,Greater Seattle Area,month:7;year:2006,month:7;year:2006,month:9;year:2004,month:9;year:2004,year:2006,year:2006,year:2006,year:2006,month:5;year:2013,month:5;year:2013,
450,Equity Methods,Equity Methods,Electronic Arts (EA),Careerwise Project - College of Education; Arizona State University,Uber,Consultant,Associate,Product Analyst - Marketing Technology & Innovation,Graduate Research Assistant,Data Scientist,Scottsdale,Scottsdale,San Francisco Bay Area,Tempe,San Francisco Bay Area,month:12;year:2012,month:5;year:2013,month:1;year:2011,month:12;year:2012,month:6;year:2014,month:11;year:2015,month:8;year:2010,month:12;year:2010,month:11;year:2015,,
451,JAMMIN' DJs - Colorado,University of Illinois,Quicksilver Scientific,AbbVie,Abbott,Event Manager,Master's Student/Research Assistant,Head Chemical Analyst; Partner,Activity Manager,Chemical Analyst; Pharmacokinetics Scientist,Denver; CO,Lafayette; Colorado,North Chicago; IL,Abbott Park; IL,,month:2;year:2008,month:10;year:2009,year:2003,year:2007,month:3;year:2007,month:7;year:2011,month:8;year:2013,,month:9;year:2011,month:8;year:2013,
452,Passion Global,Willis Singapore,NTUC Income,Great Eastern Life,Allianz Reinsurance,Client Solutions Manager,Associate Director,Executive (Actuarial),Assistant Vice President (Customer Acquisition),Senior Executive,Singapore,Singapore,Singapore,Singapore,Singapore,year:2007,year:2015,year:2015,,year:1997,year:2000,year:2005,year:2007,year:2000,year:2005,
453,Tangerine,ING DIRECT Canada,Administrative Assistants Limited,AAL,,Data Architect,Technical Lead,Sr. Software Developer,Application Designer,,toronto; ontario,,,,,month:7;year:2013,,month:8;year:2007,month:6;year:2013,year:2002,year:2007,month:1;year:2002,month:8;year:2007,,,
454,K Squared Capital,Tulane University,Eureka Capital Markets; LLC,Mesoamerica Investments,Investment Banking Institute,Co-Founder and Chief Investment Officer,Peer Educator,Summer Analyst,Intern,Student,New Orleans; LA,New York; NY,San Jose; Costa Rica,New York; NY,,month:6;year:2014,,month:8;year:2013,month:12;year:2013,month:5;year:2013,month:8;year:2013,month:2;year:2012,month:6;year:2012,month:6;year:2013,month:6;year:2013,
455,,,,,,,,,,,,,,,,,,,,,,,,,,
456,CIBC; Technology Architecture,BMO Financial Group,CIBC; Internet Channel Technology,CIBC,PwC Canada,Business Process Analyst,Manager - Strategy; Planning and Customer Experience,Technical Writer,Analytics Lead - Advanced Analytics,Senior Associate; Forensic Services,Toronto; Canada Area,Toronto; Canada Area,,,,month:1;year:2007,month:5;year:2007,month:1;year:2017,,month:5;year:2007,month:9;year:2007,month:8;year:2014,month:12;year:2016,month:7;year:2008,month:7;year:2014,
457,East India Capital Management,HP Wealth Management Group SA,Citi Private Bank,Aura Group Pty Ltd,Deer Creek Advisors,Associate,Portfolio and Risk Analyst,Performance Measurement Analyst,Associate,Analyst,,,,,,month:10;year:2015,month:10;year:2015,month:10;year:2012,month:10;year:2012,month:5;year:2008,month:5;year:2008,month:6;year:2016,month:6;year:2016,month:12;year:2014,month:12;year:2014,
458,MusicParty Studio,RBS Markets and International Banking,Delta Lloyd Asset Management,Jilin University,Guangdong Art Museum,Founder and Guitar Teacher,Economic Capital Modeler Intern at Risk Management Department,Junior Quant Developer,Founder and Guitar Teacher,Economic Capital Modeler Intern at Risk Management Department,?? ???????,?? ???????,Amsterdam Area; Netherlands,Amsterdam Area; Netherlands,,month:8;year:2011,month:8;year:2011,month:8;year:2014,month:8;year:2014,month:12;year:2015,month:12;year:2015,month:8;year:2011,month:8;year:2011,month:8;year:2014,month:8;year:2014,
459,Microsoft,Microsoft,,,,Software Engineer,Software Engineer,,,,,,,,,,,,,,,,,,,
460,,,,,,,,,,,,,,,,,,,,,,,,,,
461,,,,,,,,,,,,,,,,,,,,,,,,,,
